Whitestone, Alaska			
Latitude: 64 deg 9.6 N, Longitude: 145 deg 52.9 W, Elevation: 310 meters			
Source: Alaska Energy Authority (www.akenergyauthority.org/programwind.html)			
Wind speed measurements are in meters per second.  Direction is degrees from True North.			
			
Timestamp	Spd (30m height)	Spd (20m height)	Dir
1/4 19:00	2.36	1.84	340
1/4 20:00	1.83	1.43	2
1/4 21:00	1.46	1.12	24
1/4 22:00	0.89	0.69	24
1/4 23:00	1.56	1.21	334
1/5 0:00	1.54	1.19	171
1/5 1:00	2.42	1.88	227
1/5 2:00	3.67	2.93	298
1/5 3:00	4.29	3.50	198
1/5 4:00	3.05	2.55	135
1/5 5:00	2.60	2.21	137
1/5 6:00	8.51	7.26	159
1/5 7:00	7.90	6.73	170
1/5 8:00	3.77	3.22	109
1/5 9:00	3.75	3.24	72
1/5 10:00	2.16	1.87	55
1/5 11:00	3.11	2.69	71
1/5 12:00	2.81	2.42	243
1/5 13:00	2.70	2.31	110
1/5 14:00	2.61	2.20	79
1/5 15:00	5.51	4.57	66
1/5 16:00	5.93	4.78	29
1/5 17:00	2.34	1.86	86
1/5 18:00	3.53	2.76	62
1/5 19:00	1.76	1.38	5
1/5 20:00	3.66	2.87	300
1/5 21:00	1.47	1.13	217
1/5 22:00	4.04	3.12	186
1/5 23:00	3.83	2.96	125
1/6 0:00	3.50	2.72	72
1/6 1:00	1.63	1.27	16
1/6 2:00	2.69	2.15	14
1/6 3:00	1.49	1.22	48
1/6 4:00	1.40	1.18	113
1/6 5:00	1.52	1.29	122
1/6 6:00	1.43	1.22	153
1/6 7:00	2.70	2.30	119
1/6 8:00	4.77	4.08	71
1/6 9:00	2.00	1.73	338
1/6 10:00	1.53	1.33	45
1/6 11:00	1.37	1.19	81
1/6 12:00	1.96	1.69	59
1/6 13:00	2.51	2.15	70
1/6 14:00	1.61	1.36	24
1/6 15:00	2.41	1.99	41
1/6 16:00	5.72	4.60	52
1/6 17:00	7.67	6.08	11
1/6 18:00	4.23	3.31	358
1/6 19:00	4.77	3.73	351
1/6 20:00	3.01	2.35	346
1/6 21:00	1.93	1.48	4
1/6 22:00	1.61	1.25	0
1/6 23:00	1.53	1.18	351
1/7 0:00	1.19	0.92	346
1/7 1:00	1.72	1.34	352
1/7 2:00	1.50	1.20	351
1/7 3:00	1.87	1.53	348
1/7 4:00	1.33	1.11	8
1/7 5:00	1.57	1.34	8
1/7 6:00	1.75	1.49	351
1/7 7:00	4.43	3.77	342
1/7 8:00	8.75	7.48	347
1/7 9:00	12.49	10.78	117
1/7 10:00	5.27	4.56	238
1/7 11:00	1.87	1.62	265
1/7 12:00	2.50	2.16	283
1/7 13:00	3.28	2.80	291
1/7 14:00	2.10	1.77	307
1/7 15:00	1.80	1.50	306
1/7 16:00	1.98	1.61	311
1/7 17:00	1.20	0.95	282
1/7 18:00	3.34	2.61	288
1/7 19:00	3.60	2.81	104
1/7 20:00	1.28	1.00	34
1/7 21:00	1.61	1.24	32
1/7 22:00	1.41	1.09	66
1/7 23:00	1.51	1.17	66
1/8 0:00	1.78	1.38	51
1/8 1:00	1.74	1.35	47
1/8 2:00	3.28	2.62	58
1/8 3:00	2.41	1.96	77
1/8 4:00	1.43	1.20	82
1/8 5:00	2.46	2.09	136
1/8 6:00	1.36	1.16	119
1/8 7:00	1.36	1.16	166
1/8 8:00	2.10	1.80	192
1/8 9:00	2.62	2.26	203
1/8 10:00	1.97	1.71	225
1/8 11:00	2.21	1.91	282
1/8 12:00	3.44	2.97	321
1/8 13:00	4.87	4.17	344
1/8 14:00	6.81	5.75	102
1/8 15:00	7.34	6.09	256
1/8 16:00	2.39	1.93	217
1/8 17:00	2.13	1.68	300
1/8 18:00	1.39	1.08	249
1/8 19:00	1.79	1.41	261
1/8 20:00	1.07	0.84	292
1/8 21:00	1.31	1.01	286
1/8 22:00	1.64	1.27	256
1/8 23:00	2.49	1.93	308
1/9 0:00	2.33	1.81	181
1/9 1:00	1.92	1.50	124
1/9 2:00	3.48	2.78	103
1/9 3:00	1.26	1.02	67
1/9 4:00	1.51	1.26	57
1/9 5:00	1.04	0.89	26
1/9 6:00	1.91	1.63	5
1/9 7:00	2.65	2.26	338
1/9 8:00	4.94	4.23	314
1/9 9:00	7.28	6.28	306
1/9 10:00	4.39	3.80	281
1/9 11:00	2.25	1.95	268
1/9 12:00	3.15	2.72	250
1/9 13:00	2.69	2.30	259
1/9 14:00	1.78	1.51	280
1/9 15:00	2.22	1.85	277
1/9 16:00	1.74	1.40	256
1/9 17:00	2.55	2.01	261
1/9 18:00	1.78	1.39	262
1/9 19:00	4.19	3.28	272
1/9 20:00	2.04	1.60	303
1/9 21:00	2.46	1.89	328
1/9 22:00	2.53	1.95	344
1/9 23:00	3.34	2.58	350
1/10 0:00	1.63	1.27	299
1/10 1:00	2.32	1.81	331
1/10 2:00	1.59	1.26	287
1/10 3:00	1.65	1.35	282
1/10 4:00	1.41	1.18	266
1/10 5:00	1.62	1.38	266
1/10 6:00	2.06	1.76	8
1/10 7:00	2.20	1.87	329
1/10 8:00	1.98	1.69	316
1/10 9:00	2.21	1.90	304
1/10 10:00	1.20	1.04	306
1/10 11:00	2.34	2.03	302
1/10 12:00	3.16	2.72	264
1/10 13:00	2.14	1.83	208
1/10 14:00	2.37	2.00	93
1/10 15:00	1.85	1.53	35
1/10 16:00	1.81	1.46	164
1/10 17:00	1.50	1.19	181
1/10 18:00	1.70	1.33	196
1/10 19:00	3.05	2.39	163
1/10 20:00	3.20	2.50	180
1/10 21:00	2.86	2.20	200
1/10 22:00	1.66	1.28	201
1/10 23:00	3.59	2.78	207
1/11 0:00	4.45	3.45	314
1/11 1:00	3.54	2.75	351
1/11 2:00	5.44	4.34	354
1/11 3:00	4.56	3.71	355
1/11 4:00	6.84	5.73	14
1/11 5:00	4.73	4.02	199
1/11 6:00	1.75	1.49	170
1/11 7:00	3.08	2.62	116
1/11 8:00	5.12	4.38	325
1/11 9:00	5.64	4.86	70
1/11 10:00	7.99	6.92	96
1/11 11:00	9.03	7.81	30
1/11 12:00	7.66	6.60	258
1/11 13:00	3.29	2.82	306
1/11 14:00	3.69	3.11	15
1/11 15:00	1.49	1.24	25
1/11 16:00	1.69	1.37	18
1/11 17:00	2.22	1.76	320
1/11 18:00	1.67	1.31	285
1/11 19:00	1.69	1.33	313
1/11 20:00	1.32	1.03	311
1/11 21:00	2.91	2.24	40
1/11 22:00	4.28	3.31	35
1/11 23:00	4.66	3.61	351
1/12 0:00	5.96	4.63	330
1/12 1:00	4.37	3.40	347
1/12 2:00	5.20	4.14	350
1/12 3:00	4.87	3.98	315
1/12 4:00	5.68	4.77	101
1/12 5:00	6.39	5.43	68
1/12 6:00	3.42	2.92	122
1/12 7:00	1.71	1.45	129
1/12 8:00	4.87	4.16	105
1/12 9:00	4.35	3.75	100
1/12 10:00	5.33	4.62	182
1/12 11:00	5.67	4.91	352
1/12 12:00	8.58	7.40	32
1/12 13:00	7.59	6.51	9
1/12 14:00	4.86	4.11	337
1/12 15:00	6.37	5.27	341
1/12 16:00	5.29	4.27	320
1/12 17:00	4.23	3.36	302
1/12 18:00	2.75	2.14	310
1/12 19:00	6.26	4.90	330
1/12 20:00	3.65	2.85	322
1/12 21:00	1.44	1.11	1
1/12 22:00	1.98	1.53	355
1/12 23:00	1.60	1.23	226
1/13 0:00	4.06	3.15	70
1/13 1:00	2.01	1.57	66
1/13 2:00	1.54	1.23	359
1/13 3:00	0.93	0.76	341
1/13 4:00	0.95	0.79	323
1/13 5:00	2.39	2.04	357
1/13 6:00	1.32	1.12	19
1/13 7:00	1.89	1.61	66
1/13 8:00	4.95	4.23	37
1/13 9:00	3.80	3.28	42
1/13 10:00	4.35	3.77	147
1/13 11:00	2.16	1.87	323
1/13 12:00	3.93	3.39	358
1/13 13:00	4.60	3.94	311
1/13 14:00	2.21	1.87	305
1/13 15:00	3.11	2.58	301
1/13 16:00	2.05	1.66	311
1/13 17:00	1.39	1.10	341
1/13 18:00	1.40	1.10	359
1/13 19:00	2.07	1.62	6
1/13 20:00	2.27	1.78	305
1/13 21:00	1.15	0.89	266
1/13 22:00	1.65	1.28	112
1/13 23:00	1.59	1.23	100
1/14 0:00	2.65	2.06	89
1/14 1:00	2.46	1.91	38
1/14 2:00	6.66	5.33	54
1/14 3:00	8.04	6.56	73
1/14 4:00	8.20	6.86	118
1/14 5:00	2.14	1.82	108
1/14 6:00	1.04	0.89	188
1/14 7:00	2.50	2.13	9
1/14 8:00	4.89	4.18	97
1/14 9:00	6.12	5.29	106
1/14 10:00	5.14	4.46	272
1/14 11:00	4.60	3.98	309
1/14 12:00	8.66	7.47	296
1/14 13:00	10.27	8.78	294
1/14 14:00	9.49	8.02	293
1/14 15:00	8.22	6.82	295
1/14 16:00	5.01	4.06	291
1/14 17:00	3.87	3.07	291
1/14 18:00	2.52	1.97	286
1/14 19:00	2.10	1.64	246
1/14 20:00	2.95	2.31	226
1/14 21:00	5.10	3.92	196
1/14 22:00	6.30	4.87	48
1/14 23:00	4.28	3.31	85
1/15 0:00	2.18	1.69	131
1/15 1:00	1.57	1.23	279
1/15 2:00	1.43	1.15	276
1/15 3:00	1.66	1.36	273
1/15 4:00	1.44	1.20	267
1/15 5:00	1.65	1.41	253
1/15 6:00	3.33	2.84	248
1/15 7:00	4.53	3.86	246
1/15 8:00	4.98	4.26	245
1/15 9:00	7.77	6.71	95
1/15 10:00	3.44	2.97	276
1/15 11:00	1.91	1.66	214
1/15 12:00	2.07	1.78	137
1/15 13:00	3.14	2.69	48
1/15 14:00	4.66	3.94	324
1/15 15:00	1.66	1.37	340
1/15 16:00	1.97	1.59	29
1/15 17:00	1.80	1.43	173
1/15 18:00	1.40	1.10	189
1/15 19:00	1.43	1.12	171
1/15 20:00	1.92	1.50	40
1/15 21:00	2.31	1.78	41
1/15 22:00	2.12	1.64	34
1/15 23:00	5.06	3.92	316
1/16 0:00	4.64	3.60	302
1/16 1:00	3.58	2.79	325
1/16 2:00	3.23	2.58	217
1/16 3:00	1.32	1.08	270
1/16 4:00	2.06	1.73	5
1/16 5:00	2.23	1.90	66
1/16 6:00	1.93	1.65	345
1/16 7:00	1.19	1.01	358
1/16 8:00	1.45	1.24	12
1/16 9:00	4.99	4.31	357
1/16 10:00	3.61	3.12	334
1/16 11:00	2.14	1.85	355
1/16 12:00	3.09	2.66	319
1/16 13:00	3.76	3.22	74
1/16 14:00	0.73	0.61	68
1/16 15:00	2.09	1.73	35
1/16 16:00	2.24	1.80	49
1/16 17:00	1.61	1.28	36
1/16 18:00	2.32	1.81	289
1/16 19:00	1.49	1.17	276
1/16 20:00	3.26	2.55	52
1/16 21:00	2.58	1.98	135
1/16 22:00	5.02	3.88	116
1/16 23:00	3.44	2.66	30
1/17 0:00	4.12	3.20	73
1/17 1:00	3.00	2.34	28
1/17 2:00	1.36	1.09	44
1/17 3:00	1.29	1.05	347
1/17 4:00	1.14	0.95	224
1/17 5:00	1.80	1.53	264
1/17 6:00	1.41	1.20	263
1/17 7:00	4.05	3.45	312
1/17 8:00	4.75	4.06	255
1/17 9:00	2.08	1.80	283
1/17 10:00	2.29	1.99	304
1/17 11:00	2.41	2.09	299
1/17 12:00	2.19	1.89	264
1/17 13:00	5.00	4.27	304
1/17 14:00	3.55	3.00	323
1/17 15:00	1.49	1.23	349
1/17 16:00	2.02	1.63	1
1/17 17:00	2.43	1.93	352
1/17 18:00	7.68	6.00	350
1/17 19:00	6.19	4.84	341
1/17 20:00	2.04	1.59	315
1/17 21:00	1.08	0.83	333
1/17 22:00	1.99	1.54	329
1/17 23:00	4.31	3.34	346
1/18 0:00	6.67	5.17	360
1/18 1:00	2.12	1.65	346
1/18 2:00	1.31	1.05	345
1/18 3:00	1.57	1.28	22
1/18 4:00	2.02	1.69	15
1/18 5:00	4.60	3.92	27
1/18 6:00	3.15	2.69	166
1/18 7:00	2.24	1.91	156
1/18 8:00	1.99	1.70	12
1/18 9:00	2.09	1.81	47
1/18 10:00	1.84	1.59	38
1/18 11:00	2.87	2.48	48
1/18 12:00	4.48	3.86	107
1/18 13:00	2.62	2.24	92
1/18 14:00	4.94	4.18	76
1/18 15:00	5.27	4.37	70
1/18 16:00	4.88	3.93	76
1/18 17:00	3.10	2.47	80
1/18 18:00	3.93	3.07	61
1/18 19:00	2.39	1.87	52
1/18 20:00	1.79	1.40	84
1/18 21:00	5.40	4.15	101
1/18 22:00	7.93	6.13	24
1/18 23:00	3.89	3.01	25
1/19 0:00	2.03	1.58	51
1/19 1:00	1.83	1.43	287
1/19 2:00	1.63	1.30	264
1/19 3:00	1.59	1.29	260
1/19 4:00	2.10	1.76	271
1/19 5:00	4.53	3.86	237
1/19 6:00	4.37	3.73	234
1/19 7:00	4.68	3.98	256
1/19 8:00	10.35	8.86	228
1/19 9:00	6.74	5.82	210
1/19 10:00	8.16	7.06	202
1/19 11:00	10.30	8.91	294
1/19 12:00	7.20	6.21	297
1/19 13:00	4.75	4.07	250
1/19 14:00	2.61	2.21	208
1/19 15:00	1.36	1.13	194
1/19 16:00	1.65	1.33	146
1/19 17:00	1.50	1.19	124
1/19 18:00	1.21	0.94	90
1/19 19:00	1.66	1.30	73
1/19 20:00	3.56	2.79	235
1/19 21:00	2.30	1.77	262
1/19 22:00	1.55	1.20	278
1/19 23:00	1.44	1.11	286
1/20 0:00	1.94	1.50	290
1/20 1:00	1.99	1.55	290
1/20 2:00	2.01	1.61	314
1/20 3:00	2.12	1.73	298
1/20 4:00	1.65	1.38	280
1/20 5:00	2.40	2.05	318
1/20 6:00	1.42	1.21	20
1/20 7:00	2.27	1.93	55
1/20 8:00	1.71	1.47	88
1/20 9:00	1.95	1.68	130
1/20 10:00	2.25	1.95	89
1/20 11:00	8.06	6.98	157
1/20 12:00	6.50	5.61	178
1/20 13:00	2.45	2.10	163
1/20 14:00	2.75	2.33	113
1/20 15:00	2.87	2.39	69
1/20 16:00	3.13	2.52	41
1/20 17:00	6.26	4.96	39
1/20 18:00	11.97	9.35	48
1/20 19:00	9.34	7.31	355
1/20 20:00	9.44	7.38	305
1/20 21:00	7.99	6.16	293
1/20 22:00	8.13	6.28	315
1/20 23:00	7.08	5.48	294
1/21 0:00	7.41	5.75	227
1/21 1:00	6.42	5.00	258
1/21 2:00	8.06	6.43	256
1/21 3:00	7.18	5.86	264
1/21 4:00	6.76	5.66	237
1/21 5:00	6.14	5.22	267
1/21 6:00	8.49	7.24	298
1/21 7:00	4.98	4.24	332
1/21 8:00	3.84	3.28	264
1/21 9:00	3.84	3.31	219
1/21 10:00	5.00	4.33	71
1/21 11:00	3.86	3.34	27
1/21 12:00	2.10	1.81	111
1/21 13:00	2.51	2.15	20
1/21 14:00	1.44	1.22	67
1/21 15:00	2.50	2.07	48
1/21 16:00	2.17	1.76	49
1/21 17:00	3.00	2.38	289
1/21 18:00	1.52	1.19	300
1/21 19:00	2.01	1.57	316
1/21 20:00	4.83	3.78	45
1/21 21:00	7.27	5.60	57
1/21 22:00	4.07	3.15	43
1/21 23:00	4.12	3.19	358
1/22 0:00	2.70	2.09	356
1/22 1:00	1.25	0.97	326
1/22 2:00	4.02	3.22	298
1/22 3:00	5.87	4.79	263
1/22 4:00	2.71	2.26	256
1/22 5:00	2.42	2.06	281
1/22 6:00	4.89	4.17	281
1/22 7:00	4.68	3.98	289
1/22 8:00	3.65	3.12	299
1/22 9:00	1.51	1.30	317
1/22 10:00	1.79	1.55	326
1/22 11:00	1.69	1.46	59
1/22 12:00	3.01	2.59	124
1/22 13:00	4.92	4.21	256
1/22 14:00	2.18	1.84	253
1/22 15:00	1.97	1.63	264
1/22 16:00	3.57	2.88	303
1/22 17:00	2.73	2.17	67
1/22 18:00	3.68	2.87	88
1/22 19:00	1.57	1.23	108
1/22 20:00	3.01	2.35	110
1/22 21:00	2.24	1.73	104
1/22 22:00	1.37	1.06	74
1/22 23:00	1.54	1.20	88
1/23 0:00	0.96	0.74	98
1/23 1:00	0.92	0.72	246
1/23 2:00	1.74	1.39	259
1/23 3:00	3.38	2.77	239
1/23 4:00	4.91	4.10	325
1/23 5:00	3.93	3.35	16
1/23 6:00	3.79	3.23	9
1/23 7:00	2.27	1.93	289
1/23 8:00	2.20	1.88	299
1/23 9:00	5.85	5.04	279
1/23 10:00	2.13	1.85	220
1/23 11:00	1.88	1.63	243
1/23 12:00	1.47	1.27	239
1/23 13:00	2.07	1.77	250
1/23 14:00	7.15	6.03	250
1/23 15:00	5.57	4.61	264
1/23 16:00	4.74	3.82	258
1/23 17:00	5.12	4.06	263
1/23 18:00	2.23	1.74	131
1/23 19:00	2.82	2.21	156
1/23 20:00	3.10	2.43	152
1/23 21:00	1.37	1.06	222
1/23 22:00	3.18	2.46	275
1/23 23:00	1.63	1.26	110
1/24 0:00	2.69	2.09	74
1/24 1:00	3.46	2.69	142
1/24 2:00	1.24	0.99	188
1/24 3:00	4.04	3.31	224
1/24 4:00	2.08	1.74	275
1/24 5:00	2.04	1.74	281
1/24 6:00	3.22	2.74	163
1/24 7:00	2.25	1.92	268
1/24 8:00	1.61	1.38	259
1/24 9:00	2.03	1.75	308
1/24 10:00	3.67	3.18	251
1/24 11:00	3.18	2.75	204
1/24 12:00	2.00	1.72	49
1/24 13:00	1.63	1.39	307
1/24 14:00	5.00	4.22	310
1/24 15:00	5.52	4.57	356
1/24 16:00	10.77	8.67	280
1/24 17:00	13.12	10.41	260
1/24 18:00	9.10	7.11	248
1/24 19:00	5.26	4.11	330
1/24 20:00	3.18	2.49	327
1/24 21:00	1.27	0.98	304
1/24 22:00	1.72	1.33	294
1/24 23:00	2.06	1.60	300
1/25 0:00	2.23	1.73	295
1/25 1:00	3.26	2.54	313
1/25 2:00	4.36	3.47	229
1/25 3:00	3.93	3.21	96
1/25 4:00	4.03	3.37	157
1/25 5:00	1.53	1.30	225
1/25 6:00	4.41	3.77	223
1/25 7:00	2.06	1.76	220
1/25 8:00	1.54	1.32	138
1/25 9:00	2.59	2.23	71
1/25 10:00	2.35	2.03	41
1/25 11:00	2.09	1.81	356
1/25 12:00	2.00	1.72	23
1/25 13:00	3.97	3.39	51
1/25 14:00	4.74	4.01	316
1/25 15:00	3.82	3.17	360
1/25 16:00	1.84	1.48	46
1/25 17:00	3.03	2.40	24
1/25 18:00	1.82	1.42	327
1/25 19:00	1.66	1.30	342
1/25 20:00	2.54	1.99	144
1/25 21:00	4.29	3.31	145
1/25 22:00	3.87	2.99	351
1/25 23:00	3.95	3.06	314
1/26 0:00	4.05	3.14	258
1/26 1:00	3.94	3.07	173
1/26 2:00	3.90	3.11	157
1/26 3:00	2.47	2.01	145
1/26 4:00	1.74	1.46	203
1/26 5:00	4.55	3.88	21
1/26 6:00	7.12	6.07	311
1/26 7:00	5.76	4.91	318
1/26 8:00	1.67	1.43	262
1/26 9:00	2.23	1.92	57
1/26 10:00	2.98	2.58	19
1/26 11:00	2.78	2.40	317
1/26 12:00	5.27	4.54	333
1/26 13:00	4.19	3.59	62
1/26 14:00	1.70	1.44	15
1/26 15:00	1.92	1.59	360
1/26 16:00	4.15	3.35	37
1/26 17:00	3.08	2.44	18
1/26 18:00	1.96	1.53	354
1/26 19:00	3.41	2.66	347
1/26 20:00	4.74	3.71	320
1/26 21:00	3.12	2.41	322
1/26 22:00	2.05	1.58	333
1/26 23:00	4.28	3.31	311
1/27 0:00	8.75	6.79	277
1/27 1:00	8.22	6.40	260
1/27 2:00	7.78	6.19	257
1/27 3:00	3.09	2.52	224
1/27 4:00	3.11	2.60	249
1/27 5:00	2.97	2.53	286
1/27 6:00	1.67	1.42	260
1/27 7:00	2.69	2.29	268
1/27 8:00	2.21	1.89	272
1/27 9:00	2.57	2.22	256
1/27 10:00	1.57	1.36	263
1/27 11:00	1.74	1.50	242
1/27 12:00	2.59	2.23	220
1/27 13:00	3.90	3.33	222
1/27 14:00	5.69	4.80	281
1/27 15:00	4.62	3.84	289
1/27 16:00	7.21	5.81	301
1/27 17:00	2.51	1.99	303
1/27 18:00	1.31	1.02	289
1/27 19:00	4.16	3.25	302
1/27 20:00	4.02	3.15	353
1/27 21:00	4.10	3.15	331
1/27 22:00	2.40	1.85	342
1/27 23:00	1.76	1.37	337
1/28 0:00	1.82	1.41	334
1/28 1:00	2.52	1.96	329
1/28 2:00	1.64	1.31	265
1/28 3:00	2.10	1.71	190
1/28 4:00	2.20	1.84	185
1/28 5:00	3.70	3.16	188
1/28 6:00	4.61	3.94	173
1/28 7:00	2.95	2.51	145
1/28 8:00	1.51	1.29	150
1/28 9:00	2.59	2.24	150
1/28 10:00	6.18	5.36	193
1/28 11:00	8.39	7.26	220
1/28 12:00	4.77	4.11	217
1/28 13:00	5.62	4.81	205
1/28 14:00	4.60	3.88	154
1/28 15:00	2.69	2.24	158
1/28 16:00	3.66	2.95	206
1/28 17:00	11.33	8.98	266
1/28 18:00	8.55	6.69	349
1/28 19:00	2.75	2.15	306
1/28 20:00	1.67	1.31	282
1/28 21:00	1.59	1.23	283
1/28 22:00	1.27	0.99	266
1/28 23:00	2.58	2.00	266
1/29 0:00	2.60	2.02	264
1/29 1:00	3.49	2.72	258
1/29 2:00	4.14	3.30	270
1/29 3:00	3.90	3.18	292
1/29 4:00	1.97	1.65	279
1/29 5:00	3.40	2.89	271
1/29 6:00	1.51	1.29	301
1/29 7:00	3.60	3.06	313
1/29 8:00	1.84	1.58	293
1/29 9:00	5.12	4.42	287
1/29 10:00	3.38	2.92	300
1/29 11:00	2.03	1.76	316
1/29 12:00	3.65	3.15	310
1/29 13:00	2.02	1.73	316
1/29 14:00	2.35	1.98	346
1/29 15:00	3.95	3.27	351
1/29 16:00	3.40	2.75	344
1/29 17:00	2.02	1.60	347
1/29 18:00	2.89	2.26	349
1/29 19:00	2.06	1.61	15
1/29 20:00	2.03	1.59	29
1/29 21:00	1.41	1.09	37
1/29 22:00	2.57	1.99	62
1/29 23:00	3.94	3.05	55
1/30 0:00	2.66	2.07	60
1/30 1:00	5.44	4.24	72
1/30 2:00	2.23	1.78	70
1/30 3:00	1.94	1.58	59
1/30 4:00	1.88	1.57	15
1/30 5:00	1.48	1.27	358
1/30 6:00	1.46	1.24	349
1/30 7:00	2.08	1.77	17
1/30 8:00	2.33	1.99	12
1/30 9:00	2.16	1.86	9
1/30 10:00	1.21	1.04	35
1/30 11:00	6.17	5.34	40
1/30 12:00	10.20	8.79	17
1/30 13:00	11.71	10.02	71
1/30 14:00	8.42	7.12	59
1/30 15:00	5.50	4.57	33
1/30 16:00	3.34	2.70	34
1/30 17:00	6.79	5.39	108
1/30 18:00	4.28	3.34	142
1/30 19:00	3.25	2.54	116
1/30 20:00	4.72	3.69	21
1/30 21:00	3.79	2.92	92
1/30 22:00	3.11	2.41	131
1/30 23:00	1.34	1.04	163
1/31 0:00	1.62	1.26	203
1/31 1:00	1.42	1.10	203
1/31 2:00	1.48	1.17	216
1/31 3:00	2.00	1.64	213
1/31 4:00	3.71	3.11	222
1/31 5:00	4.64	3.94	210
1/31 6:00	3.92	3.34	271
1/31 7:00	1.62	1.38	333
1/31 8:00	3.18	2.72	341
1/31 9:00	2.15	1.85	3
1/31 10:00	1.98	1.71	32
1/31 11:00	2.04	1.77	3
1/31 12:00	2.09	1.80	5
1/31 13:00	4.55	3.90	115
1/31 14:00	3.42	2.90	69
1/31 15:00	2.23	1.85	324
1/31 16:00	7.05	5.68	121
1/31 17:00	6.35	5.04	87
1/31 18:00	1.99	1.55	105
1/31 19:00	3.57	2.79	29
1/31 20:00	3.86	3.02	15
1/31 21:00	6.19	4.78	108
1/31 22:00	5.19	4.01	240
1/31 23:00	5.70	4.41	294
2/1 0:00	4.07	3.16	285
2/1 1:00	4.59	3.57	222
2/1 2:00	1.92	1.53	183
2/1 3:00	6.48	5.30	246
2/1 4:00	2.90	2.42	340
2/1 5:00	2.40	2.04	31
2/1 6:00	4.72	4.02	72
2/1 7:00	2.79	2.37	81
2/1 8:00	2.21	1.89	17
2/1 9:00	2.58	2.23	330
2/1 10:00	3.43	2.97	6
2/1 11:00	4.38	3.79	6
2/1 12:00	2.04	1.76	55
2/1 13:00	2.72	2.33	81
2/1 14:00	1.60	1.35	353
2/1 15:00	2.25	1.87	282
2/1 16:00	1.69	1.36	249
