WAINWRIGHT (DEW)    AK - 700300                                                 														
 70 deg    37' N  159 deg    51' W - Elev   27m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/87-09/89 01/99-09/02                                            									Adjusted to Alaska Timezone (GMT-9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	12	1207	86	93	106	118	139	122	111	117	89	83	82	61
	13	1195	86	93	114	120	131	113	112	112	85	80	81	68
	14	1189	88	93	114	115	129	119	107	112	83	80	85	64
	15	4874	419	386	443	434	460	437	424	438	405	347	355	326
	16	1219	92	93	115	119	132	128	109	115	89	79	86	62
	17	1190	91	91	108	118	126	119	109	113	87	78	81	69
	18	1191	90	87	113	117	127	114	110	116	87	78	83	69
	19	1190	90	89	114	119	126	115	107	114	85	85	80	66
	20	1202	97	92	107	113	128	122	113	116	83	76	91	64
	21	5022	409	401	446	436	473	452	439	467	417	365	349	368
	22	1192	87	93	108	117	133	124	110	113	87	77	83	60
	23	1203	88	90	107	118	135	124	116	113	85	84	81	62

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	5.05	5.99	5.21	5.35	5.11	5.22	4.47	4.92	5.35	4.36	5.15	4.33	5.17
	1	5.04	5.81	5.35	5.57	5.12	4.98	4.69	4.72	5.44	4.47	4.88	4.27	5.28
	2	5	5.93	5.16	5.57	5.03	4.9	4.4	4.94	5.23	4.45	4.97	4.13	5.53
	3	4.59	5.15	4.41	4.64	4.64	5.07	4.09	4.21	4.31	4.21	4.97	4.84	4.56
	4	5.07	6.2	5.42	5.64	4.88	5	4.38	5.2	5.39	4.69	4.9	4.17	5.17
	5	5.03	5.87	5.38	5.5	4.94	4.89	4.65	4.88	5.45	4.63	5.03	4.06	5.31
	6	5.01	6.15	5.34	5.48	5.14	5.29	4.48	4.59	4.94	4.52	5.04	4.56	5.26
	7	5.14	5.9	5.32	5.28	5.14	4.9	4.71	5.03	5.7	4.97	4.89	4.67	5.22
	8	5.26	6.33	5.31	5.71	5.35	5.08	4.67	5.21	5.85	5.09	4.81	4.36	5.24
	9	4.71	5.16	4.73	4.6	4.92	5.37	4.28	4.34	4.5	4.45	4.77	4.85	4.55
	10	5.35	5.8	5.26	5.83	5.56	5.61	4.91	5.31	6.21	5.17	4.91	4.22	4.83
	11	5.46	5.53	5.17	5.82	5.85	5.69	5.16	5.49	6.2	5.34	5.23	3.99	5.24
	12	5.51	5.84	5.22	5.98	5.84	5.73	5.04	5.83	6.15	5.43	5.06	4.26	5.07
	13	5.58	5.75	5.78	5.96	6.06	5.7	5.22	5.88	6.33	5.4	5.07	4.05	4.83
	14	5.64	5.91	5.49	6.02	6.19	5.94	5.24	5.87	6.3	5.44	5.21	4.28	5.08
	15	5.09	5.19	5.06	5.05	5.64	5.81	4.93	5.1	5.06	4.76	4.88	4.86	4.46
	16	5.58	5.67	5.08	5.7	6.41	5.93	5.28	6.02	6.27	5.28	4.94	4.61	4.74
	17	5.52	5.71	5.28	5.79	5.96	5.71	5.25	6.05	6.03	5.33	4.84	4.83	4.62
	18	5.49	5.75	5.12	5.79	5.83	5.44	5.3	5.99	6.02	5.15	4.94	4.73	5.17
	19	5.27	5.43	5.16	5.66	5.57	5.34	5.07	5.93	5.56	4.97	4.87	4.22	4.84
	20	5.28	5.75	5	5.74	5.59	5.3	5.12	5.65	5.44	4.66	4.86	4.61	5.17
	21	4.75	4.85	4.86	5.02	4.85	5.32	4.55	4.87	4.24	4.28	4.89	4.84	4.37
	22	5.1	5.62	5.02	5.47	5.23	5.16	4.63	5.21	5.41	4.53	4.96	4.73	5.12
	23	5.02	5.74	5.03	5.38	5.41	4.99	4.54	5.18	5.25	4.37	4.79	4.25	5.04

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	188	330	259	246	189	203	91	126	163	91	192	146	277
	1	183	321	263	269	192	174	106	108	168	96	155	133	296
	2	178	329	246	257	176	169	87	121	141	100	171	131	291
	3	182	314	214	226	187	193	97	99	107	112	211	231	215
	4	190	403	279	267	175	187	84	135	162	116	158	124	283
	5	183	354	302	250	175	173	98	124	168	109	171	91	292
	6	189	367	276	257	215	221	93	113	143	130	170	173	278
	7	203	355	276	252	200	184	101	126	188	127	165	217	255
	8	217	488	265	298	239	180	105	136	208	137	149	172	309
	9	199	328	247	228	226	228	124	115	135	138	186	250	200
	10	212	358	270	295	253	219	115	141	244	139	162	150	223
	11	218	279	237	291	287	221	124	153	249	173	195	125	271
	12	230	338	295	301	289	248	117	179	254	187	168	155	216																									
	13	237	341	336	326	305	230	129	188	257	168	180	122	232																									
	14	243	349	273	314	335	263	124	192	265	162	187	175	250																									
	15	227	302	297	283	298	273	144	160	164	138	211	250	199																									
	16	235	318	238	273	348	251	136	192	272	153	182	211	220																									
	17	231	316	264	297	305	231	150	197	242	155	155	227	202																									
	18	224	348	232	284	277	208	147	205	245	132	159	210	229																									
	19	202	277	245	278	226	193	133	198	228	124	158	144	196																									
	20	209	278	228	274	267	202	136	183	221	103	145	212	255																									
	21	194	270	276	261	202	218	121	142	117	115	194	239	193																									
	22	193	302	252	252	212	184	106	137	180	100	154	239	238																									
	23	181	307	230	243	245	171	99	137	161	97	157	130	218																									

SPEED BY DIRECTION                                                              																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	0	4	4.13	4.52	4.41	4.8	4.98	5.22	6.12	6.85	6.87	6.43	6.01	4.74	4.54	3.89	3.55	3.32	3.35	4.44	4.41	4.7	5.22	5.88	6.08	5.62	5.7	5.46	5.38	5.02	4.62	4.53	4.44	4.15	3.94	4.12	3.77	4
	1	0	4.1	3.7	4.2	3.5	4.2	4.9	5.5	6.8	8.2	9.1	8.4	5.9	5.4	3.7	3.7	3.5	3.7	2.9	5.7	5	4.2	5.4	4.1	5.5	5.3	5.7	5.4	5.1	3.9	3.6	3.9	3.2	3.4	2.9	2.7	2.7	4.1
	2	0	3.7	2.5	3.2	3.2	4.3	4.1	4.4	5.6	7.1	7.9	7.8	7.6	5.2	4.4	4.1	3.5	3.2	4.9	5.5	6.3	6.7	7.2	6.7	5	6.2	4.8	5.6	5.6	4.9	4.1	3.7	4.5	3.2	3.2	2.7	2.4	3.7
	3	0	3.8	3	3.5	4.1	4.5	4.5	5.6	6.9	7.6	7.7	7.5	7.1	4.7	4.4	3.7	3.1	2.9	2.8	5.1	4.8	2.9	3.7	3.4	3.7	3.5	3.3	4.1	3.8	4.2	4.1	3.5	4.1	3.9	2.7	4.2	3.2	3.8
	4	0	3.9	3.7	3.7	4.1	5.1	5	5.2	6.5	7.3	7.1	6.4	6.7	4.3	4	4.2	3.8	3.7	3.3	5.3	4.5	4.8	5	6.4	6.5	5.7	5.9	6.1	6.9	5.4	4.7	5.2	4.6	5.6	4.7	4.2	4	3.9
	5	0	4.2	4.9	4	3.8	4.3	5	5.6	6.6	6.9	6.9	6.3	6	5.1	4.9	3.9	3.2	3	2.9	2.7	3.7	4.6	5.5	5.6	6.4	5	4.7	4.5	4.7	4.5	4	4.4	3.9	3.5	4.1	3.7	3.7	4.2
	6	0	3.4	4.2	5.3	4.6	5.1	5.3	5.8	5.5	5.9	5.9	5.7	5.6	4.8	5	4.5	3.4	2.8	2.8	2.9	2.9	3.8	3.8	4.8	6.1	5.5	5.5	4.9	4.3	4.3	3.7	3.8	3.9	3.8	3.5	3.1	3.3	3.4
	7	0	4	4.6	5.1	4.9	5.2	5.3	5.6	6	6.2	6.1	6.3	6.3	5.1	5.5	4	4.3	3.4	4.2	3.6	4.5	5	4.9	5.7	5.3	5.8	6	5.8	5.4	5	4.9	4.5	4.8	3.4	3.2	3.7	3.5	4
	8	0	4.4	4.3	4.4	4.5	4.7	4.9	4.7	5.2	5.4	6.5	7	6.1	5	4.6	4.5	3.7	3.9	4	4.2	4.6	5	4.9	6.5	7.6	6.3	6	5.6	5.9	6.1	6.1	5.9	5.6	4.9	4	4.6	4	4.4
	9	0	4.4	5	5.1	4.9	4.8	4.5	4.5	4.4	4.9	5.4	5	5.6	4.8	4.6	3.8	4.1	4.5	4.2	4.3	4.5	4.4	5.2	5.3	6	6.6	5.8	5.6	4.8	5.5	5.1	4.6	4.2	4.2	5	5.4	5.2	4.4
	10	0	4.1	4.7	4.7	5.1	4.9	6	5.7	6.4	6.6	5.7	5	4.6	3.6	3.2	3.1	2.7	3	3.1	3.4	3.9	4.7	5.5	7	7.7	4.3	6.5	5.9	7.3	5.8	5.5	5	5.2	5.1	4.6	4.6	4	4.1
	11	0	4.2	3.5	4.5	5	4.5	4.2	4.2	5.9	6.7	5.8	5.4	5.2	4.6	4.9	3.4	3.3	3.1	2.9	3.7	3.2	4.1	5	5.1	4.7	6.6	4.5	4	4.6	5.7	4.9	4.7	4.2	4.6	4.2	4.3	4.2	4.2
	12	0	3.4	3.5	3	4.3	5.9	5.4	4.6	5.3	6.6	6.7	6.2	5.3	4.7	3.9	3.2	3.6	2.9	2.7	5.2	4	5.5	5.9	7	5.7	5.8	8.2	7.9	6.7	4.2	4.1	3.2	3.6	3.8	3.5	3.3	3	3.4
FREQUENCY BY DIRECTION                                                          																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	7.15	1.55	1.5	2.03	2.25	2.59	4.19	6.27	8.1	9.98	10.6	6.42	3.76	2.73	1.82	1.8	1.96	1.59	1.5	1.78	1.21	1.2	1.62	1.54	1.69	2.21	2.11	2.17	2.37	1.91	1.57	1.54	1.24	1.31	1.34	1.15	1.39	1.55
	1	9.6	1.4	1.6	1.9	1.6	1.8	3.3	6.5	8.4	12.6	13.7	6.5	2.1	1.4	0.8	1.2	1.4	1.5	1.4	1.9	0.7	0.5	1.2	1	2.1	2.6	1.7	2.5	4	2	2.2	1.8	1.4	2.2	1.1	0.8	1.2	1.4
	2	12.8	1.1	0.9	1.5	2.3	3	4.6	6.9	11.1	12.4	13.3	6.3	4.1	2.2	1.3	1.8	2.1	1.8	1.6	2.6	1.9	1.6	1.5	1.6	1.4	1.1	0.7	1	2.1	1.4	0.9	0.8	0.5	0.6	0.7	0.6	0.8	1.1
	3	8.7	0.8	0.8	1.5	2.5	3.1	4.4	7.4	12.4	15.7	12.6	6.9	3.3	2.7	1.7	2.3	2.7	2.5	2	2.1	0.7	1.2	1.1	0.6	0.8	1.4	0.9	0.6	0.7	0.6	0.5	0.6	0.3	0.6	0.6	0.8	0.8	0.8
	4	7.2	1	1.2	1.4	2	3	4	7.1	12.6	10.1	9.8	5.5	3	2.1	1.7	2.2	2.5	1.9	1.8	1.9	1.2	1.1	1.7	1.9	1.4	2.5	2.1	2.5	2.3	1.2	1.3	1.3	1.1	1.1	1.3	0.6	0.9	1
	5	5.4	1.1	0.6	1	1.1	1.9	3.9	6.8	10.1	11.5	14.1	9	5.9	3.8	3.1	2.1	2	1.3	0.8	0.8	0.8	1.3	1.9	1.1	2	2.3	1.2	1.1	1.1	0.8	1.1	1	0.5	0.6	0.9	0.6	0.7	1.1
	6	4.2	2.4	2.6	3.3	3	2.9	5.1	6.2	5.2	5.6	7.1	5.7	3.9	2.7	1.5	1.9	1.5	1.3	1.1	0.6	0.6	0.8	0.7	0.9	1.7	3.2	4.2	3.4	4	2.6	2.6	2.4	2.4	2	1.7	1.2	2	2.4
	7	4.4	1.5	2.3	3.9	2.9	3.1	4.4	8.3	6	4.2	3.9	4.3	3.4	2.4	1.8	1.9	1.8	1.1	0.8	1.1	0.6	0.9	1.3	1.5	2.2	3.9	4.7	4.7	4.6	3.8	3.2	2.1	1.5	1.6	1.3	1.2	1.7	1.5
	8	4.9	2.3	1.8	2.4	2.5	2.5	3	3.8	4.1	4.1	7.1	5.8	4	2.6	1.1	1.3	1.7	0.8	1.3	1.6	1.7	1.6	2.1	2.4	2.9	3.3	4	4.7	3.9	4	2.7	2.8	2	2.1	1.8	2	2.3	2.3
	9	4.6	2.4	2.1	3.3	3.3	3.2	4.8	6.4	5.2	6.9	8.3	4.9	3.2	2.9	2.6	1.9	2.7	1.7	1.5	2.4	2	1.4	2.2	2	1.7	1.9	1.6	1.7	1.2	1.5	1	1.9	1.7	1.4	2.4	2.3	2.4	2.4
	10	6.5	1.4	1.1	1.1	1.9	2.1	5.4	6	8.4	13.7	12.6	7.2	4.5	4.2	2.1	1.5	1.2	1.6	2.7	2.5	1.9	1.6	2.1	2.1	1.2	0.7	0.1	0.2	0.6	0.6	0.5	0.8	1.6	1.2	1.3	1.1	1.2	1.4
	11	8.4	1.8	1.5	1.4	1.7	1.9	3.4	3.5	6.5	13.1	13.9	8	3.8	3.3	2.7	2.3	2.4	2.4	2.1	2.9	1.5	1.2	2	2	1.2	0.9	0.9	1.2	1.3	0.9	0.7	1.1	0.7	1.2	1.6	1.7	1.4	1.8
	12	12	1.2	1.3	1	2	2.3	4.1	5.5	7	14.2	14.4	7.5	3	2.2	1.3	1	1.3	1.6	1.4	2.3	1.6	1.4	2	1.6	1.1	1.5	1.5	1	1.7	3.2	1.4	1.4	1	1.2	1.4	1.3	1	1.2
FREQUENCY OF SPEED                                                              																																							
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25												
	ALL	7.1	5.3	13.1	13.7	13.5	13	9.4	8.1	5.2	4	3.1	1.7	1.3	0.5	0.3	0.3	0.1	0.1	0.1	0	0	0	0	0	0	0												
	1	9.6	5.1	13	12.6	11.5	10.7	6.7	6.5	4.8	4.4	4.5	3.3	2.9	1.2	0.8	1.2	0.2	0.3	0.4	0.1	0	0	0	0	0	0												
	2	12.8	5.7	12.3	12.2	11.9	10.7	7	6.4	5.9	4.8	3.8	1.9	1.7	0.4	0.5	0.8	0.2	0.1	0.3	0.1	0.2	0	0	0	0	0												
	3	8.7	6.7	14.7	11.4	9.5	9.4	7.4	8	6.9	5.6	5.3	3.1	2	0.5	0.2	0.4	0.1	0	0.2	0	0.1	0	0	0.1	0	0
	4	7.2	5.4	12.6	12.8	12.1	11.1	9.3	8.1	5.8	5.5	4.5	2.6	1.6	0.4	0.2	0.3	0	0	0.1	0.1	0	0	0	0	0	0
	5	5.4	4	10.5	13	14.9	13.9	10.3	9.6	6.9	4	2.8	1.9	1.3	0.5	0.3	0.4	0	0.2	0.1	0	0	0	0	0	0	0
	6	4.2	4	13.2	16.1	16.9	16.8	12	9	3.8	2.3	1	0.5	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0
	7	4.4	3.2	10.5	14.4	16.3	16.4	12.5	10	5.4	3.5	1.7	0.8	0.6	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0
	8	4.9	4.2	10.5	13.3	14.6	14.8	12.4	11.2	6.2	3.7	1.8	0.9	0.4	0.3	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0
	9	4.6	5.8	13.1	16.3	16.8	15	9.7	8.3	4.7	2.7	1.8	0.6	0.4	0.3	0	0	0	0	0	0	0	0	0	0	0	0
	10	6.5	6.2	15.6	13.6	11.9	13	9.6	8.2	4	4	3.4	1.7	1.4	0.4	0.3	0.3	0	0	0	0	0	0	0	0	0	0
	11	8.4	7.7	18.3	16.1	12.1	11	6.5	4.7	3	3	3.5	1.8	1.5	0.7	0.6	0.5	0	0.1	0.2	0.1	0	0	0	0	0	0
	12	12	6.7	15.4	13.1	12	10.7	6.7	4.9	3.1	3.8	3.7	2.5	2.8	1	0.5	0.6	0	0.1	0.1	0	0	0	0	0	0	0
PERCENT OF POWER BY SPEED                                                       																											
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
	ALL	0	0.1	0.6	1.7	3.6	6.4	8	10.9	10.1	11	11.6	8.8	9	3.9	2.8	4.2	0.8	1.4	2.3	1.1	1.1	0.3	0.1	0.3	0	0.1
	1	0	0	0.4	1.1	2.1	3.5	3.9	5.8	6.2	8.2	11	10.8	12.5	6.3	5	9.4	2.2	3.6	5.2	1.8	0.5	0.6	0	0	0	0
	2	0	0	0.5	1.2	2.6	4.3	4.9	7.2	9.5	11.1	11.5	7.8	9.1	3	4.2	7.7	2	2	4.6	1.6	3.8	0	0	0	0	1.3
	3	0	0.1	0.5	1.1	2	3.8	5.2	8.9	11.1	12.6	16.1	12.5	11	3.5	1.2	3.3	0.6	0	2.3	0	1.8	0	0	2.4	0	0
	4	0	0	0.5	1.4	2.9	4.9	7.1	9.8	10.1	13.5	14.8	11.2	9.1	2.8	1.6	2.8	0.3	0.7	1.1	2.3	1.1	1.3	0.7	0	0	0
	5	0	0	0.4	1.5	3.7	6.5	8.3	12.2	12.6	10.4	9.8	8.7	8.4	3.9	3	4.1	0.6	3.2	1.6	0.9	0	0	0	0	0	0
	6	0	0.1	1	3.4	7.5	14	17.3	20.1	12	10.6	5.9	3.7	2.1	1.3	0	0	0	0	0	0	1.1	0	0	0	0	0
	7	0	0	0.6	2.4	5.8	11	14.5	18.2	14.2	12.8	8.4	4.9	4.8	1.6	0.7	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0.5	1.8	4.3	8.2	11.9	16.8	13.6	11.6	7.3	4.6	3.1	2.5	2.5	1.6	1.2	2.2	2.2	1.9	2.3	0	0	0	0	0
	9	0	0.1	0.9	3	6.8	11.1	12.4	17	14	11.2	10.2	4.2	4.1	3.3	0	0	0.6	0	0	1	0	0	0	0	0	0
	10	0	0.1	0.8	1.9	3.5	7.1	9.1	12.3	8.7	12.1	13.6	9.5	10	3.7	3.1	3.4	0	0	0	0	0	1.2	0	0	0	0
	11	0	0.1	0.9	2	3.3	5.6	5.8	6.6	5.9	8.6	13.4	9.3	10.6	6	6.5	6.9	0.5	1.1	4.5	1.6	0.9	0	0	0	0	0
	12	0	0.1	0.7	1.6	3	4.8	5.3	6.2	5.7	9.9	12.6	11	16.6	7.5	4.3	5.9	0	1.5	2.5	0.8	0	0	0	0	0	0
PREVAILING DIRECTION BY HOUR                                                    																											
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23		
	ALL	90	80	90	90	90	80	80	80	80	90	90	90	80	80	90	90	90	80	80	90	90	90	90	80		
	1	80	90	90	90	80	90	80	90	80	70	90	90	90	80	80	90	90	90	80	90	90	90	90	90		
	2	90	80	80	70	90	80	90	80	70	90	80	90	90	70	70	80	80	80	80	90	90	90	90	80		
	3	80	80	90	80	90	80	90	80	90	80	70	90	80	80	90	80	90	80	80	80	80	70	80	80		
	4	70	80	70	70	70	70	70	80	80	80	70	70	70	70	70	90	70	70	70	70	70	70	70	70		
	5	70	90	90	90	70	90	100	110	80	90	100	100	110	70	80	90	80	80	90	70	90	90	70	100
	6	60	50	50	90	60	100	90	100	100	90	260	240	250	60	250	90	310	20	50	20	60	60	70	60
	7	70	70	70	60	80	60	60	70	70	60	250	250	250	260	260	60	20	280	60	60	60	60	60	60
	8	90	100	80	90	90	90	90	90	80	90	270	100	100	250	90	260	280	100	20	100	100	90	100	100
	9	90	60	90	90	60	60	80	50	100	90	90	80	150	80	30	90	90	50	80	50	50	90	70	50
	10	60	80	80	80	90	90	80	90	80	90	90	80	50	90	80	80	80	80	80	90	80	80	90	80
	11	80	100	90	90	90	70	80	80	80	80	80	70	80	90	90	90	90	80	80	90	90	80	90	90
	12	80	80	90	90	80	80	80	80	80	90	80	80	80	100	80	90	90	90	90	80	80	90	80	80
SPEED FOR PREVAILING DIRECTION BY HOUR                                          																									
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
	ALL	6.78	6.51	6.85	6.32	6.76	6.91	6.87	6.83	6.9	6.46	6.96	7.71	6.93	7.13	7.43	6.91	7.63	6.92	7.49	6.76	7.09	6.64	7.03	6.73
	1	9.09	9.69	9.59	8.97	8.57	9.99	8.4	9.48	8.33	7.36	8.66	7.85	9	8.09	7.7	8.29	10.76	11.15	8.59	8.73	8.41	7.93	9.12	9.43
	2	8.35	7.42	6.29	5.66	7.33	6.92	7.91	6.94	5.19	8.39	7	8.64	7.54	5.81	6.53	7.27	6.4	7.25	7.26	8.45	9.2	7.6	7.84	7.05
	3	7.51	8.64	8.22	6.62	7.28	7.62	7.52	8.32	7.46	7.47	6.01	8.36	8.29	7.74	8.38	7.47	7.38	7.16	8.39	8.59	7.85	6.88	7.74	7.37
	4	6.49	6.88	6.07	6.58	5.74	5.71	5.86	6.44	7.83	7.71	6.04	7.05	6.94	6.5	5.98	7.9	7.75	6.92	7.05	6.25	6.78	6.18	6.12	6.42
	5	7.26	6.47	5.52	6.43	5.92	5.62	7.12	6.61	5.66	6.57	6.53	5.99	4.45	5.99	8.18	7.64	7.82	6.56	6.56	8.01	6.66	6.95	5.93	6.26
	6	5.09	5.3	4.81	5.11	4.17	5.89	5.34	5.45	5.39	5.35	4.63	5.6	6.47	6.37	6.25	6.03	4.11	6.32	4.97	5.44	5.8	5.78	5.89	5.05
	7	5.44	5.18	5.03	4.87	5.89	4.67	4.55	4.5	4.47	5.21	6.36	6.35	6.96	5.6	6.07	6.17	5.91	5.52	6.96	6.27	6.82	5.5	6.06	5.82
	8	6.02	7.96	4.59	6.23	6.43	7.21	6.59	7.29	6.34	5.58	6.6	8.12	8.87	4.87	6.12	4.57	7.43	7.82	4.28	6.95	7.33	5.89	7.14	5.96
	9	6.01	2.89	5.09	5.39	3.47	3.67	3.75	5.4	4.88	5.26	5.2	4.57	4.56	5.73	6.85	5.34	5.78	4.7	4.96	4.93	4.46	5.22	4.51	3.83
	10	3.79	6.51	7.25	7.15	5.96	5.59	5.93	5.18	5.92	5.58	6.34	6.33	5.91	7.25	6.31	6.76	5.71	7.35	5.78	5.05	5.61	6.16	5.67	8.13
